<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
KYE,20061201,57.00,57.00,57.00,57.00,null
KYE,20070101,56.00,56.00,56.00,56.00,null
KYE,20070201,54.00,54.00,54.00,54.00,null
KYE,20070301,52.50,52.50,52.50,52.50,null
KYE,20070401,56.50,56.50,56.50,56.50,null
KYE,20070501,53.50,53.50,53.50,53.50,null
KYE,20070601,52.50,52.50,52.50,52.50,null
KYE,20070701,52.50,52.50,52.50,52.50,null
KYE,20070801,53.00,53.00,53.00,53.00,null
KYE,20070901,52.50,52.50,52.50,52.50,null
KYE,20071001,50.50,50.50,50.50,50.50,null
KYE,20071101,46.50,46.50,46.50,46.50,null
KYE,20071201,39.25,39.25,39.25,39.25,null
KYE,20080101,37.00,37.00,37.00,37.00,null
KYE,20080201,39.75,39.75,39.75,39.75,null
KYE,20080301,39.50,39.50,39.50,39.50,null
KYE,20080401,41.00,41.00,41.00,41.00,null
KYE,20080501,40.00,40.00,40.00,40.00,null
KYE,20080601,37.00,37.00,37.00,37.00,null
KYE,20080701,36.00,36.00,36.00,36.00,null
KYE,20080801,38.50,38.50,38.50,38.50,null
KYE,20080901,37.75,37.75,37.75,37.75,null
KYE,20081001,28.75,28.75,28.75,28.75,null
KYE,20081101,28.00,28.00,28.00,28.00,null
KYE,20081201,32.25,32.25,32.25,32.25,null
KYE,20090101,31.00,31.00,31.00,31.00,null
KYE,20090201,39.00,39.00,39.00,39.00,null
KYE,20090301,44.50,44.50,44.50,44.50,null
KYE,20090401,41.00,41.00,41.00,41.00,null
KYE,20090501,59.00,59.00,59.00,59.00,null
KYE,20090601,70.50,70.50,70.50,70.50,null
KYE,20090701,60.75,60.75,60.75,60.75,null
KYE,20090801,108.00,108.00,108.00,108.00,null
KYE,20090901,131.00,131.00,131.00,131.00,null
KYE,20091001,230.00,230.00,230.00,230.00,null
KYE,20091101,186.00,186.00,186.00,186.00,null
KYE,20091201,214.00,214.00,214.00,214.00,null
KYE,20100101,208.00,208.00,208.00,208.00,null
KYE,20100201,190.50,190.50,190.50,190.50,null
KYE,20100301,210.00,210.00,210.00,210.00,null
KYE,20100401,203.00,203.00,203.00,203.00,null
KYE,20100501,227.00,227.00,227.00,227.00,null
KYE,20100601,246.00,246.00,246.00,246.00,null
KYE,20100701,258.00,258.00,258.00,258.00,null
KYE,20100801,216.00,216.00,216.00,216.00,null
KYE,20100901,216.00,216.00,216.00,216.00,null
KYE,20101001,215.00,215.00,215.00,215.00,null
KYE,20101101,214.00,214.00,214.00,214.00,null
KYE,20101201,215.00,215.00,215.00,215.00,null
KYE,20110101,211.00,211.00,211.00,211.00,null
KYE,20110201,206.00,206.00,206.00,206.00,null
KYE,20110301,211.00,211.00,211.00,211.00,null
KYE,20110401,223.00,223.00,223.00,223.00,null
KYE,20110501,209.00,209.00,209.00,209.00,null
KYE,20110601,214.00,214.00,214.00,214.00,null
KYE,20110701,230.00,230.00,230.00,230.00,null
KYE,20110801,185.00,185.00,185.00,185.00,null
KYE,20110901,167.00,167.00,167.00,167.00,null
KYE,20111001,160.50,160.50,160.50,160.50,null
KYE,20111101,179.00,179.00,179.00,179.00,null
KYE,20111201,180.00,180.00,180.00,180.00,null
KYE,20120101,188.00,188.00,188.00,188.00,null
KYE,20120201,214.00,214.00,214.00,214.00,null
KYE,20120301,218.00,218.00,218.00,218.00,null
KYE,20120401,229.00,229.00,229.00,229.00,null
KYE,20120501,221.00,221.00,221.00,221.00,null
KYE,20120601,227.00,227.00,227.00,227.00,null
KYE,20120701,244.00,244.00,244.00,244.00,null
KYE,20120801,298.00,298.00,298.00,298.00,null
KYE,20120901,369.00,369.00,369.00,369.00,null
KYE,20121001,325.00,325.00,325.00,325.00,null
KYE,20121101,269.00,269.00,269.00,269.00,null
KYE,20121201,264.00,264.00,264.00,264.00,null
KYE,20130101,265.00,265.00,265.00,265.00,null
KYE,20130201,275.00,275.00,275.00,275.00,null
KYE,20130301,276.00,276.00,276.00,276.00,null
KYE,20130401,282.00,282.00,282.00,282.00,null
KYE,20130501,317.00,317.00,317.00,317.00,null
KYE,20130601,298.00,298.00,298.00,298.00,null
KYE,20130701,302.00,302.00,302.00,302.00,null
KYE,20130801,228.00,228.00,228.00,228.00,null
KYE,20130901,245.00,245.00,245.00,245.00,null
KYE,20131001,248.00,248.00,248.00,248.00,null
KYE,20131101,244.00,244.00,244.00,244.00,null
KYE,20131201,242.00,242.00,242.00,242.00,null
KYE,20140101,246.00,246.00,246.00,246.00,null
KYE,20140201,263.00,263.00,263.00,263.00,null
KYE,20140301,265.00,265.00,265.00,265.00,null
KYE,20140401,281.00,281.00,281.00,281.00,null
KYE,20140501,261.00,261.00,261.00,261.00,null
KYE,20140601,277.00,277.00,277.00,277.00,null
KYE,20140701,275.00,275.00,275.00,275.00,null
KYE,20140801,256.00,256.00,256.00,256.00,null
KYE,20140901,262.00,262.00,262.00,262.00,null
KYE,20141001,256.00,256.00,256.00,256.00,null
KYE,20141101,266.00,266.00,266.00,266.00,null
KYE,20141201,260.00,260.00,260.00,260.00,null
KYE,20150101,265.00,265.00,265.00,265.00,null
KYE,20150201,293.00,293.00,293.00,293.00,null
KYE,20150301,289.00,289.00,289.00,289.00,null
KYE,20150401,310.00,310.00,310.00,310.00,null
KYE,20150501,326.00,326.00,326.00,326.00,null
KYE,20150601,324.00,324.00,324.00,324.00,null
KYE,20150701,284.00,284.00,284.00,284.00,null
KYE,20150801,276.00,276.00,276.00,276.00,null
KYE,20150901,276.00,276.00,276.00,276.00,null
KYE,20151001,295.00,295.00,295.00,295.00,null
KYE,20151101,279.00,279.00,279.00,279.00,null
KYE,20151201,275.00,275.00,275.00,275.00,null
KYE,20160101,287.00,287.00,287.00,287.00,null
KYE,20160201,282.00,282.00,282.00,282.00,null
KYE,20160301,303.00,303.00,303.00,303.00,null
KYE,20160401,311.00,311.00,311.00,311.00,null
KYE,20160501,320.00,320.00,320.00,320.00,null
