<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SMART,20141001,3.1081362,3.1081362,3.1081362,3.1081362,null
SMART,20141101,3.07625788,3.07625788,3.07625788,3.07625788,null
SMART,20141201,3.25158864,3.25158864,3.25158864,3.25158864,null
SMART,20150101,3.69788512,3.69788512,3.69788512,3.69788512,null
SMART,20150201,3.57037184,3.57037184,3.57037184,3.57037184,null
SMART,20150301,3.41098024,3.41098024,3.41098024,3.41098024,null
SMART,20150401,3.42,3.42,3.42,3.42,null
SMART,20150501,2.96,2.96,2.96,2.96,null
SMART,20150601,2.94,2.94,2.94,2.94,null
SMART,20150701,2.56,2.56,2.56,2.56,null
SMART,20150801,2.18,2.18,2.18,2.18,null
SMART,20150901,2.42,2.42,2.42,2.42,null
SMART,20151001,2.26,2.26,2.26,2.26,null
SMART,20151101,1.86,1.86,1.86,1.86,null
SMART,20151201,1.42,1.42,1.42,1.42,null
SMART,20160101,1.46,1.46,1.46,1.46,null
SMART,20160201,1.45,1.45,1.45,1.45,null
SMART,20160301,1.43,1.43,1.43,1.43,null
SMART,20160401,1.64,1.64,1.64,1.64,null
SMART,20160501,1.37,1.37,1.37,1.37,null
