<TICKER>,<DTYYYYMMDD>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
TVT,20150508,3.10,3.16,2.00,2.10,491419000
TVT,20150511,2.06,2.10,1.90,1.90,73517000
TVT,20150512,1.92,2.22,1.90,2.14,266263400
TVT,20150513,2.16,2.16,1.97,1.98,92144200
TVT,20150514,1.99,2.08,1.98,1.99,41881400
TVT,20150515,2.02,2.02,1.97,1.98,23953900
TVT,20150518,2.00,2.02,1.94,1.94,29558800
TVT,20150519,1.95,1.98,1.93,1.94,24198500
TVT,20150520,1.95,2.04,1.95,2.00,61221900
TVT,20150521,2.02,2.02,1.93,1.95,30100400
TVT,20150522,1.97,1.98,1.94,1.95,6907100
TVT,20150525,1.96,1.96,1.91,1.91,7746700
TVT,20150526,1.93,1.94,1.81,1.82,35317000
TVT,20150527,1.83,1.90,1.82,1.86,15039700
TVT,20150528,1.87,1.89,1.83,1.83,9189200
TVT,20150529,1.84,1.86,1.82,1.82,9949000
TVT,20150602,1.82,1.82,1.75,1.76,7852400
TVT,20150603,1.76,1.81,1.76,1.76,6230400
TVT,20150604,1.78,1.85,1.76,1.85,16770300
TVT,20150605,1.86,1.88,1.84,1.84,17332200
TVT,20150608,2.02,2.16,1.96,2.16,183985000
TVT,20150609,2.14,2.18,2.00,2.04,152273900
TVT,20150610,2.06,2.12,1.99,2.00,59173700
TVT,20150611,2.00,2.08,2.00,2.02,38974000
TVT,20150612,2.04,2.20,2.02,2.12,91886100
TVT,20150615,2.08,2.34,2.08,2.34,66693700
TVT,20150616,2.34,2.42,2.24,2.42,36556400
TVT,20150617,2.46,2.46,2.36,2.42,15135800
TVT,20150618,2.40,2.46,2.20,2.30,28563100
TVT,20150619,2.26,2.32,2.20,2.26,12914500
TVT,20150622,2.32,2.44,2.28,2.44,38038600
TVT,20150623,2.44,2.46,2.34,2.36,21824000
TVT,20150624,2.38,2.40,2.30,2.34,11454900
TVT,20150625,2.36,2.36,2.20,2.32,27127600
TVT,20150626,2.32,2.46,2.30,2.44,23934700
TVT,20150629,2.34,2.64,2.32,2.58,74869500
TVT,20150630,2.60,2.74,2.50,2.68,51019500
TVT,20150702,2.66,2.88,2.66,2.88,56094300
TVT,20150703,2.80,2.88,2.66,2.78,43367300
TVT,20150706,2.70,2.86,2.70,2.80,22514500
TVT,20150707,2.82,2.86,2.74,2.80,12025900
TVT,20150708,2.80,2.94,2.76,2.94,39267600
TVT,20150709,2.90,3.00,2.86,2.94,18096400
TVT,20150710,2.96,2.96,2.86,2.92,10869600
TVT,20150713,2.92,2.94,2.86,2.94,8747600
TVT,20150714,2.92,3.02,2.92,2.96,15443700
TVT,20150715,2.96,3.00,2.84,2.84,9330600
TVT,20150716,2.84,2.84,2.58,2.60,25035700
TVT,20150717,2.58,2.70,2.52,2.68,18135300
TVT,20150720,2.66,2.74,2.64,2.68,7446900
